data, m, k, r, theta, n
gveii, 2, 58, 1, 11.25, 1

precision, recall, f1_score
0.174, 0.874, 0.29

members, duration
5 6, 1-107
8 78, 2314-2373
9 10, 1-102 167-266 358-451 413-474 484-551
15 16, 1-98
17 355, 1668-1728
21 22, 1-95
23 26 27, 1-86
23 27, 29-87
24 25, 31-94
24 25 26 27, 1-88
25 26 27, 1-88
26 27, 1-88
28 29 30, 1-81
29 30, 1-82
31 32, 1-101
34 35, 23-144
36 38, 39-192
37 42, 86-272
43 44, 124-218 186-305
47 61, 212-361
48 61, 167-228
51 52, 217-361
53 54, 233-331
55 56 57, 258-389 335-405
55 56 57 63, 332-392
56 57, 258-405
60 62 63, 260-338 297-416
60 62 63 72, 281-343 293-354
60 62 63 72 73, 286-348
60 62 63 72 73 74, 291-350
62 63, 260-343 293-416
62 63 73, 286-348
62 63 73 74, 291-350
63 73, 286-348
63 73 74, 291-350
64 68 69, 269-342 289-358
64 68 69 70 71, 285-346 301-388
64 68 70 71, 331-397
65 66, 242-314
65 66 67, 257-315
65 67, 258-352
66 67, 263-353
68 69, 269-342 289-364
68 69 70 71, 285-346 307-388
68 70 71, 331-397
70 71, 285-408
73 74, 291-406
75 76, 304-362 432-492
75 76 77, 305-460 419-489
75 76 77 84 86, 403-476
76 77, 305-460 419-489
76 77 84 86, 403-476
77 84 86, 403-476
79 80, 308-445
83 84, 362-430
83 84 86, 373-431
84 86, 373-476
87 88, 394-452 414-501 602-686 702-771
89 90, 417-506
91 92, 441-647 607-688 636-792
93 94, 442-512
93 94 95 96, 455-557
94 95 96, 455-565
95 96, 455-568
97 98, 461-578 545-619 563-634 588-649
99 100, 480-561 545-611 566-629
101 102, 503-561 523-604
101 102 103, 504-580
104 105, 517-644
108 109, 607-682 640-772
108 109 113, 625-697
112 113, 625-769
114 115, 638-793
116 117, 658-789
118 119, 709-928
120 121 122, 705-772
120 121 122 123, 715-826 782-841
120 121 123, 784-868
121 122, 705-772
121 122 123, 715-841
121 123, 784-876
122 123, 715-876
126 127, 802-891
129 130, 786-865 824-935 888-953
129 130 133, 808-877
129 130 133 134, 820-881
129 130 139 140, 878-945
130 133, 808-877
130 133 134, 820-881
130 139 140, 878-945
131 132, 807-865 846-909 1273-1335 1296-1361
131 132 133, 808-877 844-903 969-1027 1134-1196 1199-1258 1304-1362 1318-1378
131 132 133 134, 820-901 968-1026 1201-1261 1278-1336
131 133, 855-918 872-935 970-1041 1120-1191 1139-1248 1247-1319 1315-1375
131 133 134, 878-1025 984-1045 1207-1304 1262-1320 1279-1338
131 134, 1281-1340
132 133, 808-877 844-903 862-926 969-1027 1118-1201 1154-1221 1186-1247 1196-1258 1304-1383
132 133 134, 820-901 869-1000 968-1026 1190-1253 1201-1267 1278-1337
132 134, 943-1004 1210-1271
133 134, 820-882 878-1026 984-1045 1206-1304 1262-1337
135 136, 803-910
137 138, 827-933
139 140, 828-945
141 142, 950-1114
143 144, 933-1144
145 146, 938-1011
145 146 151 152, 954-1042
145 151 152, 985-1043
146 152, 954-1042
148 149, 949-1057
151 152, 954-1052
158 162, 1235-1298
159 160, 1016-1105 1063-1249
159 170, 1421-1481 1433-1503
159 170 398, 1958-2028
159 171, 1588-1662
159 171 285, 1605-1670
159 264, 1570-1634 1626-1750 1697-1839
159 285, 1613-1671
161 162, 1101-1222
163 165, 1012-1144
164 165, 1012-1090
164 165 166, 1038-1149
164 165 166 167 168 169, 1033-1095
164 166, 1092-1151
166 167, 1026-1087
166 167 168 169, 1033-1095
166 167 169, 1030-1090
167 168 169, 1033-1152
167 169, 1030-1090
168 169, 1033-1153
170 264, 1428-1488 1815-1883
170 278, 1239-1307
170 398, 1913-1971 1939-2030 1994-2065 2023-2109 2058-2133
171 264, 1917-2003
171 264 285, 1618-1693
171 264 285 395, 1912-1974
171 285, 1605-1675 1636-1823 1786-1937
171 285 395, 1880-1969
172 173, 1079-1234
174 175, 1078-1247 1270-1340 1300-1389 1469-1533
174 175 204, 1462-1526
174 204, 1340-1400 1349-1413
175 204, 1457-1526
177 178 179, 1100-1208
178 179, 1100-1208
181 182, 1117-1177 1253-1312
181 182 183, 1120-1264 1244-1310
181 182 183 186, 1207-1270
181 182 183 186 187, 1213-1283
181 182 183 187, 1226-1301
182 183, 1120-1310
184 185, 1120-1232
186 187, 1144-1236 1216-1301
188 192, 1170-1229
188 192 193, 1172-1265
192 193, 1172-1275 1233-1361
192 193 203, 1218-1290
193 203, 1218-1290
194 195, 1171-1240
194 195 197 198, 1185-1308
194 195 198, 1183-1242
195 197 198, 1185-1308
195 198, 1183-1242
196 197 198, 1185-1313
197 198, 1185-1314
199 200, 1188-1309
201 202, 1187-1263 1226-1344 1328-1422 1377-1438 1393-1463 1418-1601
207 208, 1229-1329
207 208 211 212, 1272-1330
208 211 212, 1272-1331
209 210, 1233-1378 1334-1397
209 210 225 226, 1327-1391
209 210 226, 1321-1384
210 226, 1321-1388
211 212, 1236-1336
213 214, 1229-1401
215 216, 1245-1403
217 218, 1230-1340 1284-1358
217 218 233, 1283-1341
221 222, 1265-1329 1275-1384
221 222 223 224, 1272-1332
222 223 224, 1272-1332
223 224, 1272-1349 1326-1399 1365-1432
223 224 227, 1292-1383 1342-1422
224 227, 1299-1380 1342-1422
225 226, 1280-1412
233 234, 1224-1338
235 236, 1340-1477
237 242 243, 1419-1493
237 243, 1417-1476
238 239, 1366-1478
240 241, 1378-1497
240 241 260, 1440-1511
240 241 260 261, 1454-1519
240 241 261, 1462-1524
241 261, 1454-1527
242 243, 1384-1458 1409-1508
242 243 245, 1401-1462
242 243 245 246, 1405-1466
243 245, 1401-1462
243 245 246, 1405-1466
245 246, 1405-1535
247 248, 1419-1573 1640-1762
249 250 251 252, 1420-1490
249 251, 1413-1473
249 251 252, 1416-1477 1433-1507
249 252, 1450-1511
251 252, 1416-1507
254 255, 1433-1560
256 258 259, 1436-1617
258 259, 1436-1618
260 292, 1437-1497
263 269, 1472-1538
263 269 274, 1481-1572
265 266, 1492-1561 1595-1685 1641-1701 1671-1737 1823-1903 1882-1990 1937-2011 1985-2086 2034-2106
265 266 267, 1504-1622 1582-1641 1587-1652 1628-1698 1732-1880 1936-1994 2049-2142
265 267, 1566-1624 1573-1639 1687-1789 1933-1993 2085-2152 2108-2173
266 267, 1463-1541 1506-1652 1632-1697 1728-1797 2053-2136
267 373, 1876-1939
269 274, 1481-1579
271 272, 1463-1535 1506-1656 1600-1708 1730-1790 1842-1920
271 272 279 280, 1478-1563
272 279 280, 1478-1561
275 276, 1500-1576 1528-1664
275 276 283, 1519-1584
275 276 283 284, 1527-1585
277 278, 1156-1214 1163-1222 1541-1606 1566-1636 1718-1784 2008-2078
279 280, 1478-1625
281 282, 1494-1675 1663-1729 1679-1781 1731-1789 1751-1836 1816-1881
281 282 301, 1724-1788
281 282 353, 1779-1873
281 301, 1736-1806
283 284, 1527-1593
283 284 291, 1536-1604
284 291, 1536-1604
284 291 293, 1547-1607
284 291 293 294, 1550-1608 1588-1673
284 291 293 294 295, 1573-1645
284 293 294, 1551-1615
285 395, 1880-1987
287 307, 1598-1658
287 307 310, 1595-1655
287 310, 1583-1652
289 290, 1565-1632
291 293, 1547-1607 1651-1710
291 293 294, 1550-1623 1588-1708
291 293 294 295, 1566-1645
293 294, 1550-1623 1588-1708
293 294 295, 1566-1645
295 301, 1681-1759 1703-1787 1786-1857 1928-1987
295 301 302 303 305, 1617-1677 1622-1681
296 297, 1609-1709
298 299, 1580-1684 1658-1774
298 299 304 305 306, 1641-1706
298 299 305 306, 1640-1698
298 304 305 306, 1649-1710
301 302 303, 1613-1673 1624-1685
301 302 303 305, 1616-1681
302 303, 1604-1673 1624-1743
302 303 305, 1616-1681
303 305, 1616-1681
304 305, 1616-1693 1682-1754 1710-1784
304 305 306, 1636-1739 1697-1767
305 306, 1636-1739
308 309 310, 1571-1652
309 310, 1571-1647
311 312, 1562-1631
311 312 313 314 315 316 322 330, 1577-1636
311 312 313 314 315 316 330, 1579-1648
311 312 313 314 315 316 330 331 332, 1600-1660
311 312 313 314 315 316 330 331 332 340 341 352 353, 1698-1758
311 312 313 314 315 316 330 331 332 344 345 346, 1673-1735
311 312 313 314 315 316 330 331 332 344 345 346 349 350, 1655-1730
311 312 313 314 315 316 330 331 332 344 346 349 350, 1649-1712
311 312 313 314 315 316 330 332, 1598-1657 1629-1706
311 312 313 314 315 322, 1574-1634
311 312 313 316 330 331 332, 1603-1664
311 312 314 315 316 330 331 332, 1696-1754
311 312 314 315 316 330 331 332 340 341, 1729-1793
311 312 314 315 316 330 331 332 340 341 344 345 346, 1721-1786
311 312 314 315 316 330 331 332 340 341 344 345 346 352 353, 1703-1776
311 312 314 315 316 330 331 332 340 341 344 345 346 353, 1719-1778
311 312 314 315 316 330 331 332 340 341 352 353, 1697-1755 1701-1760
311 312 330 331 332, 1694-1753
311 312 330 331 332 336, 1692-1751
311 312 330 331 332 336 344 345 346, 1678-1749
311 312 330 332, 1620-1686
311 312 332, 1591-1655 1607-1677
312 313 314 315 316 322 330, 1577-1636
312 313 314 315 316 330, 1579-1648 1598-1657
312 313 314 315 316 330 331, 1600-1660
312 313 314 315 316 330 331 332 340 341 352 353, 1698-1758
312 313 314 315 316 330 331 332 344 345 346, 1673-1735
312 313 314 315 316 330 331 332 344 345 346 349 350, 1655-1730
312 313 314 315 316 330 331 332 344 346 349 350, 1649-1712
312 313 314 315 316 330 332, 1629-1706
312 313 314 315 322, 1574-1634
312 313 316 330 331, 1603-1664
312 314 315 316 330 331 332, 1696-1754
312 314 315 316 330 331 332 340 341, 1729-1797
312 314 315 316 330 331 332 340 341 344 345 346, 1721-1786
312 314 315 316 330 331 332 340 341 344 345 346 352 353, 1703-1776
312 314 315 316 330 331 332 340 341 344 345 346 353, 1719-1778
312 314 315 316 330 331 332 340 341 352 353, 1697-1755 1701-1760
312 330 331 332, 1694-1753
312 330 331 332 336, 1692-1751
312 330 331 332 336 344 345 346, 1678-1749
312 330 332, 1620-1686
312 332, 1591-1655
313 314, 1566-1626
313 314 315, 1569-1631
313 314 315 316 322 330, 1577-1636
313 314 315 316 330, 1579-1657
313 314 315 316 330 331, 1600-1660 1607-1670
313 314 315 316 330 331 332, 1613-1684 1692-1754
313 314 315 316 330 331 332 340 341, 1729-1804
313 314 315 316 330 331 332 340 341 344 345 346, 1721-1786
313 314 315 316 330 331 332 340 341 344 345 346 352 353, 1703-1776
313 314 315 316 330 331 332 340 341 344 345 346 353, 1719-1778
313 314 315 316 330 331 332 340 341 352 353, 1697-1760
313 314 315 316 330 331 332 344 345 346, 1673-1749
313 314 315 316 330 331 332 344 345 346 349 350, 1655-1730
313 314 315 316 330 331 332 344 346 349 350, 1649-1712
313 314 315 316 330 331 340 341, 1747-1808
313 314 315 316 330 332, 1627-1706
313 314 315 316 340 341, 1751-1812
313 314 315 322, 1574-1634
313 315 316 340 341, 1755-1814
313 316, 1757-1815
313 316 330 331, 1603-1664
313 316 340 341, 1758-1823
314 315, 1569-1631
314 315 316, 1635-1742
314 315 316 322 330, 1577-1636
314 315 316 330, 1579-1657
314 315 316 330 331, 1600-1670
314 315 316 330 331 332, 1613-1684 1692-1754
314 315 316 330 331 332 340 341, 1729-1804
314 315 316 330 331 332 340 341 344 345 346, 1721-1786
314 315 316 330 331 332 340 341 344 345 346 352 353, 1703-1776
314 315 316 330 331 332 340 341 344 345 346 353, 1719-1778
314 315 316 330 331 332 340 341 352 353, 1697-1760
314 315 316 330 331 332 344 345 346, 1685-1749
314 315 316 330 331 340 341, 1747-1808
314 315 316 330 332, 1627-1692
314 315 316 340 341, 1751-1812
314 315 322, 1574-1634
315 316, 1635-1755
315 316 322 330, 1577-1636
315 316 330, 1579-1655
315 316 330 331, 1607-1670
315 316 330 331 332, 1613-1684
315 316 330 331 332 340 341, 1744-1803
315 316 330 332, 1627-1692
315 316 340 341, 1721-1801 1746-1814
315 316 340 341 352 353, 1698-1776
315 316 340 341 353, 1719-1778
315 322, 1574-1634
316 330, 1577-1657
316 330 331, 1600-1670
316 330 331 332, 1613-1684
316 330 332, 1627-1692
316 340 341, 1762-1824
317 319, 1584-1646
317 319 320 321, 1602-1674 1623-1694
317 319 320 321 322, 1590-1651
317 319 320 321 322 323, 1594-1659
317 319 321 322, 1589-1647
317 319 322, 1577-1641
319 320 321, 1602-1699
319 320 321 322, 1590-1651
319 320 321 322 323, 1594-1659
319 321 322, 1589-1647
319 322, 1577-1641
320 321, 1602-1699
320 321 322, 1590-1651
320 321 322 323, 1594-1659
321 322, 1588-1651
321 322 323, 1594-1653
321 323, 1596-1655
322 323, 1594-1666 1627-1688 1643-1707
322 323 335 336, 1609-1673 1623-1682 1632-1691 1650-1742
322 323 336, 1616-1680 1625-1684 1631-1689 1634-1700
323 335 336, 1609-1673 1623-1682 1632-1691 1650-1743
323 336, 1616-1680 1625-1684 1631-1689 1634-1700
325 326, 1673-1750
325 326 327, 1588-1730
325 327, 1586-1645
326 327, 1588-1715
328 329, 1600-1703 1653-1711
328 329 339, 1654-1712
329 339, 1654-1715
330 331, 1747-1808
330 331 332, 1613-1676 1692-1760 1729-1804
330 331 332 344 345 346, 1673-1749 1703-1786
330 331 332 344 345 346 349 350, 1655-1730
330 331 332 344 346 349 350, 1649-1712
330 332, 1619-1706
331 332, 1692-1760 1729-1804
331 332 344 345 346, 1673-1749 1703-1786
331 332 344 345 346 349 350, 1655-1730
331 332 344 346 349 350, 1647-1712
331 341, 1752-1812
331 344 346, 1641-1701
331 344 346 350, 1644-1704
332 344 345 346, 1675-1749 1703-1786
333 334, 1598-1664
333 334 337 338, 1642-1709
333 334 337 338 339, 1625-1699
333 334 338 339, 1611-1682
333 334 339, 1607-1668
334 338, 1638-1711
334 338 339, 1611-1695
335 336, 1594-1752
337 338, 1642-1719
337 338 339, 1616-1699
338 339, 1611-1695
340 341, 1613-1735 1721-1837
340 341 352 353, 1680-1776
340 341 353, 1678-1737 1719-1778
341 353, 1682-1774
342 343, 1622-1792
344 345 346, 1668-1790
344 345 346 350, 1655-1725
344 346, 1631-1701 1733-1791
344 346 350, 1644-1712
345 346, 1631-1701 1668-1794
345 346 350, 1644-1725
346 350, 1644-1725
347 348, 1632-1705 1721-1783 1732-1796 1799-1863 1810-1888 1867-1925
348 447, 1947-2006
349 350, 1647-1783
352 353, 1653-1762 1752-1871
357 358, 1664-1813
359 360, 1670-1729
359 360 361, 1672-1771
359 360 361 363 364 368 369, 1728-1812
359 360 361 364 368 369, 1714-1785
360 361, 1672-1771
