data, m, k, r, theta
seq_eth, 2, 10.5, 0.8, 11.25

precision, recall, f1_score
0.27, 0.31, 0.29

members, duration
4 5, 846-966
11 12, 1050-1176
14 18, 1158-1248
17 20, 1122-1212 1170-1242
42 43, 2130-2280
53 54, 2862-2928
59 60, 3006-3144
70 71, 4199-4331
71 72, 4199-4361
72 73, 4199-4361
74 75, 4223-4313
75 76, 4223-4289 4235-4301 4265-4379
92 93, 4805-4967
93 94, 4901-4979
106 107, 5111-5189
109 110, 5111-5291
121 122, 6227-6371
153 154, 7457-7523
180 181, 8397-8553
182 183, 8397-8529
185 186, 8499-8595
187 188, 8457-8625
192 193, 8709-8817
202 203, 8973-9123 9069-9141
212 214, 9267-9363
213 214, 9237-9303
227 228, 9627-9735
237 238, 9981-10071
239 240, 9915-10095
241 242, 9951-10017
246 249, 10101-10167
248 249, 10101-10233
250 256, 10227-10389
252 253, 10197-10329
252 254, 10287-10359
255 256, 10245-10323
257 260, 10257-10383
263 264, 10299-10479 10437-10515 10461-10665
265 266, 10395-10467
265 267, 10437-10509
265 270, 10299-10389
266 267, 10299-10473
266 270, 10299-10413 10365-10455
267 268, 10299-10509
275 278, 10377-10485
275 279, 10401-10473
279 281, 10395-10461
287 289, 10461-10527
300 301, 10695-10767
301 302, 10677-10767
303 304, 10701-10887
307 308, 10779-10923
308 309, 10839-10929
309 310, 10779-10917
309 312, 10851-10929
311 312, 10809-10953
320 324, 11277-11343 11289-11385
322 323, 11283-11415
325 326, 11283-11457
326 329, 11283-11457
327 328, 11301-11475
328 329, 11283-11481
332 333, 11385-11481
334 335, 11391-11613
334 336, 11403-11505
336 337, 11391-11613
337 338, 11421-11613
342 345, 11913-11997
343 344, 11871-11991
346 347, 11931-12021
352 353, 11943-12099
357 358, 12069-12381
360 362, 12237-12345
364 365, 12267-12357
